,배우명,드라마명,역할,성별,장르,방영요일,방송사,나이,방영년도,가중평점,결혼여부
1248,이기우,나의 해방일지,조연,남자,"['drama', 'romance']","['saturday', ' sunday']","['JTBC', ' NETFLIX']",42,2022,8.2,미혼
1249,이기우,닥터탐정,주연,남자,"['thriller', 'society', 'drama']","['wednesday', ' thursday']",['SBS'],39,2019,7.7,미혼
1250,이기우,운명과 분노,주연,남자,"['drama', 'romance']",['saturday'],"['SBS', ' VIKI']",38,2018,7.68,미혼
1251,이준기,어게인 마이 라이프,주연,남자,"['drama', 'thriller', 'society', 'sf']","['friday', ' saturday']","['SBS', ' VIUTV']",41,2022,7.94,미혼
1252,이준기,악의 꽃,주연,남자,"['thriller', 'romance']","['wednesday', ' thursday']",['TVN'],39,2020,8.83,미혼
1253,이준기,무법변호사,주연,남자,"['romance', 'thriller', 'action', 'society']","['saturday', ' sunday']",['TVN'],37,2018,8.12,미혼
1254,이준기,크리미널 마인드,주연,남자,"['thriller', 'action', 'drama']","['wednesday', ' thursday']",['TVN'],36,2017,7.74,미혼
1255,이준기,달의 연인 - 보보경심 려,주연,남자,"['romance', 'sf', 'hist_war']","['monday', ' tuesday']",['SBS'],35,2016,8.57,미혼
1256,이준기,밤을 걷는 선비,주연,남자,"['romance', 'thriller', 'hist_war', 'sf']","['wednesday', ' thursday']",['MBC'],34,2015,7.76,미혼
1257,이요원,그린마더스클럽,주연,여자,"['thriller', 'drama']","['wednesday', ' thursday']","['JTBC', ' NETFLIX']",43,2022,7.69,기혼
1258,이요원,달리는 조사관,주연,여자,"['drama', 'thriller', 'society']","['wednesday', ' thursday']",['OCN'],40,2019,7.69,기혼
1259,이요원,이몽,주연,여자,"['romance', 'action', 'hist_war', 'society']",['saturday'],['MBC'],40,2019,7.71,기혼
1260,이요원,부암동 복수자들,주연,여자,"['drama', 'comedy', 'youth']","['wednesday', ' thursday']",['TVN'],38,2017,8.0,기혼
1261,이요원,불야성,주연,여자,"['drama', 'society']","['monday', ' tuesday']",['MBC'],37,2016,7.64,기혼
1262,김규리,그린마더스클럽,주연,여자,"['thriller', 'drama']","['wednesday', ' thursday']","['JTBC', ' NETFLIX']",44,2022,7.69,미혼
1263,오민석,현재는 아름다워,주연,남자,"['drama', 'romance']","['saturday', ' sunday']",['KBS2'],43,2022,7.73,미혼
1264,오민석,사랑은 뷰티풀 인생은 원더풀,주연,남자,"['drama', 'comedy', 'romance']","['saturday', ' sunday']",['KBS2'],40,2019,7.72,미혼
1265,오민석,왕은 사랑한다,조연,남자,"['romance', 'drama', 'hist_war', 'society']","['monday', ' tuesday']","['MBC', ' VIKI']",38,2017,7.73,미혼
1266,오민석,여자의 비밀,주연,남자,"['romance', 'drama']","['monday', ' tuesday', ' wednesday', ' thursday', ' friday']",['KBS2'],37,2016,7.7,미혼
1267,오민석,부탁해요 엄마,주연,남자,"['drama', 'romance']","['saturday', ' sunday']",['KBS2'],36,2015,7.73,미혼
1268,오민석,"킬미, 힐미",주연,남자,"['drama', 'thriller', 'comedy', 'romance']","['wednesday', ' thursday']",['MBC'],36,2015,8.54,미혼
1269,윤시윤,현재는 아름다워,주연,남자,"['drama', 'romance']","['saturday', ' sunday']",['KBS2'],37,2022,7.73,미혼
1270,윤시윤,트레인,주연,남자,"['thriller', 'sf']","['saturday', ' sunday']",['OCN'],35,2020,8.0,미혼
1271,윤시윤,싸이코패스 다이어리,주연,남자,"['thriller', 'comedy']","['wednesday', ' thursday']",['TVN'],34,2019,8.04,미혼
1272,윤시윤,친애하는 판사님께,주연,남자,"['romance', 'comedy', 'society', 'drama']","['wednesday', ' thursday']",['SBS'],33,2018,7.84,미혼
1273,윤시윤,대군-사랑을 그리다,주연,남자,"['romance', 'drama', 'hist_war', 'society']","['saturday', ' sunday']","['TV CHOSUN', ' VIKI']",33,2018,7.72,미혼
1274,윤시윤,최고의 한방,주연,남자,"['drama', 'comedy', 'romance']","['friday', ' saturday']",['KBS2'],32,2017,7.95,미혼
1275,로운,내일,주연,남자,"['thriller', 'action', 'drama', 'sf']","['friday', ' saturday']","['MBC', ' NETFLIX']",27,2022,8.53,미혼
1276,로운,연모,주연,남자,"['romance', 'drama', 'hist_war']","['monday', ' tuesday']","['KBS2', ' NETFLIX']",26,2021,8.07,미혼
1277,로운,"선배, 그 립스틱 바르지 마요",주연,남자,"['romance', 'comedy', 'society', 'drama']","['monday', ' tuesday']","['IQIYI', ' JTBC']",26,2021,7.93,미혼
1278,로운,어쩌다 발견한 하루,주연,남자,"['sf', 'youth', 'comedy', 'romance']","['wednesday', ' thursday']",['MBC'],24,2019,8.28,미혼
1279,로운,멈추고 싶은 순간: 어바웃타임,조연,남자,"['sf', 'romance', 'music']","['monday', ' tuesday']",['TVN'],23,2018,7.6,미혼
1280,이수혁,내일,주연,남자,"['thriller', 'action', 'drama', 'sf']","['friday', ' saturday']","['MBC', ' NETFLIX']",35,2022,8.53,미혼
1281,이수혁,어느 날 우리 집 현관으로 멸망이 들어왔다,주연,남자,"['drama', 'sf', 'comedy', 'romance']","['monday', ' tuesday']","['TVN', ' VIUTV']",34,2021,8.24,미혼
1282,이수혁,본 어게인,주연,남자,"['thriller', 'romance', 'sf']","['monday', ' tuesday']",['KBS2'],33,2020,7.58,미혼
1283,이수혁,우리 집에 사는 남자,주연,남자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']",['KBS2'],29,2016,7.57,미혼
1284,이수혁,운빨로맨스,주연,남자,"['romance', 'comedy', 'society', 'drama']","['wednesday', ' thursday']",['MBC'],29,2016,7.76,미혼
1285,이수혁,동네의 영웅,주연,남자,"['comedy', 'thriller', 'action']","['saturday', ' sunday']",['OCN'],29,2016,7.63,미혼
1286,이수혁,밤을 걷는 선비,주연,남자,"['romance', 'thriller', 'hist_war', 'sf']","['wednesday', ' thursday']",['MBC'],28,2015,7.76,미혼
1287,이민호,더 킹: 영원의 군주,주연,남자,"['drama', 'thriller', 'romance', 'sf']","['friday', ' saturday']","['NETFLIX', ' SBS']",34,2020,8.03,미혼
1288,이민호,푸른 바다의 전설,주연,남자,"['drama', 'sf', 'comedy', 'romance']","['wednesday', ' thursday']",['SBS'],30,2016,8.3,미혼
1289,김성규,돼지의 왕,주연,남자,"['thriller', 'drama']",['friday'],['TVN'],34,2022,7.84,미혼
1290,김성규,어느 날,조연,남자,"['thriller', 'society']","['saturday', ' sunday']",['VIUTV'],33,2021,8.0,미혼
1291,김성규,반의반,주연,남자,"['drama', 'romance']","['monday', ' tuesday']",['TVN'],32,2020,7.97,미혼
1292,김성규,킹덤,주연,남자,"['thriller', 'society', 'hist_war']",['friday'],['NETFLIX'],31,2019,8.54,미혼
1293,이원근,우월한 하루,주연,남자,"['thriller', 'drama']",['sunday'],['OCN'],32,2022,7.64,미혼
1294,이원근,원 더 우먼,주연,남자,"['drama', 'thriller', 'comedy', 'romance']","['friday', ' saturday']",['SBS'],31,2021,7.86,미혼
1295,이원근,저글러스,주연,남자,"['romance', 'comedy', 'society', 'drama']","['monday', ' tuesday']",['KBS2'],27,2017,7.75,미혼
